Hospital,Cases,Deaths,Death %
Bellevue Hospital Center,129,4,3.101
Harlem Hospital Center,35,1,2.857
Lenox Hill Hospital,228,18,7.894
Metropolitan Hospital Center,84,7,8.333
Mount Sinai Beth Israel,291,24,8.247
Mount Sinai Hospital,270,16,5.926
Mount Sinai Roosevelt,46,6,13.043
Mount Sinai St. Lukeâ€™s,293,19,6.485
NYU Hospitals Center,241,15,6.224
NYP Hospital - Allen Hospital,105,13,12.381
NYP Hospital - Columbia Presbyterian Center,353,25,7.082
NYP Hospital - New York Weill Cornell Center,250,11,4.4
NYP/Lower Manhattan Hospital,41,4,9.756